trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5063311070082466, 'e': 0.3063311070082466}",20,0,16.734709095033438,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5047113342849952, 'e': 0.3047113342849951}",20,10,17.07287197374692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5031139039678785, 'e': 0.3031139039678784}",35,25,16.807083658895046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5015382080717397, 'e': 0.3015382080717397}",25,15,19.684504545945334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.49998366309554665, 'e': 0.29998366309554664}",20,6,24.290738727163248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.49844970872512223, 'e': 0.2984497087251222}",20,12,15.15471132874327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.49693580662067144, 'e': 0.2969358066206714}",35,15,39.227604786677276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.49544143928253853, 'e': 0.2954414392825385}",20,6,23.585801930604184,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4939661089892156, 'e': 0.2939661089892156}",25,13,21.57651958513215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.49250933680214837, 'e': 0.29250933680214836}",25,11,29.052251857559355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.49107066163236, 'e': 0.29107066163236}",30,17,-13.455065996082704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.4896496393643422, 'e': 0.2896496393643422}",25,19,11.148217262009332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4882458420330469, 'e': 0.2882458420330469}",25,18,14.753586877509985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.48685885705016485, 'e': 0.28685885705016484}",20,16,7.473577533629282,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.4854882864761886, 'e': 0.28548828647618857}",30,24,10.69602591358366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.48413374633504863, 'e': 0.2841337463350486}",25,19,11.708478024529805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4827948659683684, 'e': 0.2827948659683684}",25,7,30.711290969666283,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4814712874266217, 'e': 0.2814712874266217}",25,7,23.406444821367785,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.48016266489468995, 'e': 0.28016266489468994}",25,17,13.603897357574834,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.47886866414951335, 'e': 0.27886866414951333}",25,7,27.282468020980414,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4775889620477084, 'e': 0.2775889620477084}",25,17,14.071431870354257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.47632324604118526, 'e': 0.27632324604118524}",20,9,20.062539530763804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4750712137189506, 'e': 0.2750712137189506}",20,12,14.348426884812142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4738325723734137, 'e': 0.2738325723734137}",20,16,7.00090719857654,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.47260703858964065, 'e': 0.27260703858964064}",35,17,33.65525402826518,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4713943378561151, 'e': 0.2713943378561151}",35,25,-3.0796988769941662,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.4701942041956681, 'e': 0.2701942041956681}",25,3,32.600354789628945,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4690063798153347, 'e': 0.2690063798153347}",20,14,10.863850366756655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4678306147739867, 'e': 0.2678306147739867}",30,17,24.63101831317104,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.46666666666666673, 'e': 0.2666666666666667}",20,15,8.792479871945645,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.46551430032462865, 'e': 0.26551430032462864}",25,20,9.72034900722214,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.46437328753015533, 'e': 0.2643732875301553}",20,2,26.848920347852797,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4632434067452874, 'e': 0.2632434067452874}",20,10,-26.398792662365942,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.46212444285365856, 'e': 0.26212444285365855}",30,23,13.364841705034262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.46101618691468316, 'e': 0.26101618691468315}",35,23,21.9289599227307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4599184359293946, 'e': 0.25991843592939456}",25,11,2.735220056606396,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.45883099261727744, 'e': 0.25883099261727743}",20,0,30.975522108377465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.45775366520348004, 'e': 0.25775366520348003}",20,8,23.354741035337476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.45668626721583366, 'e': 0.25668626721583365}",25,9,28.94624311606653,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.45562861729113996, 'e': 0.25562861729113995}",25,15,16.933365099113107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.4545805389902246, 'e': 0.2545805389902246}",20,8,-0.4148975667397705,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.4535418606212849, 'e': 0.25354186062128486}",20,2,29.87522992276051,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.452512415071088, 'e': 0.252512415071088}",20,1,29.869923651445905,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4514920396436073, 'e': 0.2514920396436073}",25,13,20.249393986474537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.45048057590570356, 'e': 0.25048057590570355}",25,19,10.136735808534997,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.44947786953948843, 'e': 0.24947786953948842}",20,10,18.733966345775436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4484837702010236, 'e': 0.24848377020102358}",20,10,19.12611677706926,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.44749813138503325, 'e': 0.2474981313850332}",25,12,22.438453070179722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.4465208102953251, 'e': 0.2465208102953251}",20,3,30.034837862396863,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.44555166772063337, 'e': 0.24555166772063336}",20,14,8.620974513921546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.4445905679156133, 'e': 0.2445905679156133}",30,22,12.707008549583406,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.4436373784867338, 'e': 0.2436373784867338}",25,7,29.119112381148934,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.44269197028282725, 'e': 0.2426919702828272}",25,18,15.74352929153501,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.4417542172900706, 'e': 0.2417542172900706}",20,10,15.585338994169241,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.4408239965311849, 'e': 0.24082399653118491}",30,20,18.657877225401304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
